f_norm,clase_0_inf,clase_0_sup,clase_1_inf,clase_1_sup,clase_2_inf,clase_2_sup
1,-0.15,0.15,-0.3,0.3,-0.5,0.5
1.02676,-0.15,0.2,-0.3,0.4,-0.5,0.6
0.97394,-0.15,0.2,-0.3,0.4,-0.5,0.6
1.05594,-0.15,0.4,-0.3,0.6,-0.5,0.8
0.94702,-0.15,0.4,-0.3,0.6,-0.5,0.8
1.08776,-0.15,1.1,-0.3,1.3,-0.5,1.6
0.91932,-0.15,1.1,-0.3,1.3,-0.5,1.6
1.29565,18,100,17.5,100,16.5,100
0.77181,18,100,17.5,100,16.5,100
1.88695,42.5,100,42,100,41,100
0.52996,42.5,100,42,100,41,100
3.06955,62,100,61,100,55,100
0.32578,62,100,61,100,55,100